review,sentiment,score
"As shown sharply, but the handle is not very solid because it is plastic
More information",neutral,-0.2479
"LA garbage you know.I wish I had to claim with that money.It would come to the same account again
More information",positive,0.4019
,neutral,0.0
"I write this comment for girls.I bought it for my mother and myself.It can really be placed behind the phone like a card.No tiny and weight.The comments are not very sharp or something, but I think ideal for the necessary conditions.Like other products, it is not noticed because you can put it behind the phone like a plastic card.I hope he will help those who seek such a comment.Please, be careful and uninformed 🥺🫶🏻
More information",positive,0.9578
,neutral,0.0
,neutral,0.0
,neutral,0.0
"I was very disappointed according to this product image.
More information",negative,-0.5256
"My water is ice -cold
More information",neutral,0.0
"very well as promised
More information",positive,0.6318
"The product is nice but amazonun packaging disgrace
More information",negative,-0.5267
"It sounded big in size, but it keeps it very warm and very good at its duration.
More information",positive,0.7952
"Quality 10 number 5 stars I recommend to everyone ...
More information",positive,0.4215
"When I got the product, I filled it for drinking water.However, when I turned it side by coincidence, the water began to leak leaks, especially when the rear holding hook was closed.There was also a small black stain in the product.I started the return process.I will change it with a new one.Let's see if I will encounter the same problem. The product was changed quickly and delivered to me.That's why I use the Amazon site.They didn't even cause any problems once.
More information",negative,-0.7269
"Beautiful and useful.
More information",positive,0.7783
"I got it in 1 day.I didn't have the opportunity to try it because frankly, my reason to choose Stanley was a lifetime warranty assurance, but I couldn't save my product from the QR code on me.Even though I couldn't save it, I liked it very much and I don't think it will cause problems in the long run.It was greater than I expected, so I returned a small and different color to get a different color.Even if the QR code is not working, I will not be a problem, but I don't understand why, I sent an e -mail to the official sites for information.
More information",negative,-0.8053
"Es Sorprente El Tiempo Que Dura Exactamente iguual de Fr by Caliente Que Cuando Lo Lenas.Most General Está Marca Es Así de Buena Pero Hay Que Revisar Las Indicaciones Del Tiempo Porque Cambian de Producto a Producto, Y éte en especal tiene el tamaño money el portavasos del coche y es fásar.Solamente Hay Que Ser Cuidadoso Al Momento de Enroscar La Tapa Money No Dañar El Enroscado, Ya Que La Tapa es de Plástico, Y Porque No Es Una Pieza de Motor.
More information",negative,-0.5267
,neutral,0.0
,neutral,0.0
,neutral,0.0
"SYMPRE COM água fresquinha
More information",neutral,0.0
"The product is very high quality and useful.No flow.It keeps it cold enough and hot enough.
More information",neutral,0.0
"A very high quality and stylish product.
More information",neutral,0.0
"The seller immediately reached my cargo side without any problems.The product is absolutely original.The seller immediately solved the small billing problem.I make sure that the next shopping is from the same seller.
More information",positive,0.5859
"I bought 3 .. Package etc. came to the quality of the quality already suphe we use with pleasure with me and my brothers and sisters school cagi suitable for every mourning group.
More information",neutral,0.2023a
"There is known everywhere in the market and they sell poor quality products by saying real quality is absolutely original and giving the right to a product that gives the right to register for life warranty and I recommend using it.
More information",positive,0.5657
"A handy glass thermos who sees his job well.Quality.
More information",neutral,0.0
"Thanks Amazon.I liked the ice cube into the successful water and provided cooling for a long time.
More information",positive,0.8591
,neutral,0.0
"Purchaced on Amazon Duration a Sale.Water Stays Cold Long.I Prefer This Lid Over The Straw Top.does note leak.I have dropped this cup Hundreds of Times and have zero dents and scratches on it.
More information",neutral,0.1779
"Llevo A Todos Lados, Lo Uso Tanto Para Café (Lo Infryó Un Poco Con Hielo Para Que No Quede Tan Caliente) Y dura Así Todo El Día.También Lo Uso Money PrepaRarme Margaritas Cuando Voy a La Playa Y Me Sorprende Lo Bien Quen ConservaFría la Bebida a Pesar de Pasar Khoras y Horas.Un Día Fui A Tulum y Se Quedó Mi Vaso Stanley Mi El Auto Del Left Left Left Left Left Left Left Por Horas Y Al Regeresar (Llegué Todo Sediento) Vi Que Tenía Mi Vaso Stanley Y Fue Como Un Milagro Porque Casi Me Desmmayo Por Deshidratados.Al Sorber Mi Bebida Me Sordió Que Estaba Halada.Terminé Bien PDO Minutos Después Porque Estaba Lleno de Tequila Jajajaajau
More information",neutral,-0.296
